Parliament,Session,Date of Vote,Vote Result,Vote Number,Vote Subject,Yeas,Nays,Paired,Honorific Title,FirstName
42,1,3/7/2016 6:55:15 PM,16,"2nd reading of Bill C-4, An Act to amend the Canada Labour Code, the Parliamentary Employment and Staff Relations Act, the Public Service Labour Relations Act and the Income Tax Act (reasoned amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,3/7/2016 7:05:07 PM,17,"2nd reading of Bill C-4, An Act to amend the Canada Labour Code, the Parliamentary Employment and Staff Relations Act, the Public Service Labour Relations Act and the Income Tax Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/8/2016 3:00:00 PM,18,Government Business No. 2 (Canada's contribution to the effort to combat ISIL) (amendment),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,3/8/2016 3:20:02 PM,19,Government Business No. 2 (Canada's contribution to the effort to combat ISIL),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/8/2016 3:20:00 PM,20,"2nd reading of Bill C-2, An Act to amend the Income Tax Act (reasoned amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,3/9/2016 3:00:40 PM,21,Opposition Motion (Economy and aerospace industry),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,3/21/2016 6:35:00 PM,22,Opposition Motion (Office of Religious Freedom),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,3/21/2016 6:45:00 PM,23,Concurrence in an opposed item,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 6:55:00 PM,24,Concurrence in estimates,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 7:05:00 PM,25,"2nd reading of Bill C-8, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2016",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 7:15:00 PM,26,"Concurrence at report stage of Bill C-8, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2016",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 7:25:00 PM,27,"3rd reading and adoption of Bill C-8, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2016",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 7:35:00 PM,28,Concurrence in Interim Supply,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 7:45:00 PM,29,"2nd reading of Bill C-9, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 7:55:00 PM,30,"Concurrence at report stage of Bill C-9, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 8:05:00 PM,31,"3rd reading and adoption of Bill C-9, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 8:15:00 PM,32,"2nd reading of Bill C-6, An Act to amend the Citizenship Act and to make consequential amendments to another Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,3/21/2016 8:25:00 PM,33,"2nd reading of Bill C-2, An Act to amend the Income Tax Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,4/12/2016 7:00:00 PM,34,Budgetary policy (subamendment),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,4/13/2016 3:00:28 PM,35,Budgetary policy (amendment),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,4/19/2016 3:00:21 PM,36,Budgetary policy,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,4/19/2016 3:10:51 PM,37,Ways and Means motion No. 6,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,4/19/2016 3:20:06 PM,38,Government Business No. 4 (Instruction to Committee to divide Bill C-2),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,4/20/2016 3:00:06 PM,39,Opposition Motion (Political fundraising activities),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,4/20/2016 4:00:00 PM,40,Motion to proceed to Orders of the Day,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,4/20/2016 5:17:18 PM,41,"Time allocation for Bill C-10, An Act to amend the Air Canada Public Participation Act and to provide for certain other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,4/20/2016 6:30:48 PM,42,"2nd reading of Bill C-10, An Act to amend the Air Canada Public Participation Act and to provide for certain other measures (subamendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,4/20/2016 6:40:14 PM,43,"2nd reading of Bill C-10, An Act to amend the Air Canada Public Participation Act and to provide for certain other measures (reasoned amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,4/20/2016 6:50:46 PM,44,"2nd reading of Bill C-10, An Act to amend the Air Canada Public Participation Act and to provide for certain other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/3/2016 3:01:23 PM,45,Opposition Motion (Canadian dairy industry),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,5/4/2016 3:10:40 PM,46,Motion to proceed to Orders of the Day,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/4/2016 4:25:29 PM,47,"Time allocation for Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/4/2016 6:15:55 PM,48,"2nd reading of Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (previous question)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/4/2016 6:25:52 PM,49,"2nd reading of Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/10/2016 11:13:00 AM,50,"Time allocation for Bill C-15, An Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/10/2016 6:15:00 PM,51,"2nd reading of Bill C-15, An Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures (reasoned amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,5/10/2016 6:25:00 PM,52,"2nd reading of Bill C-15, An Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/11/2016 3:10:00 PM,53,Motion to proceed to Orders of the Day,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/11/2016 4:50:00 PM,54,"Time allocation for Bill C-7, An Act to amend the Public Service Labour Relations Act, the Public Service Labour Relations and Employment Board Act and other Acts and to provide for certain other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/11/2016 5:45:00 PM,55,"Bill C-7, An Act to amend the Public Service Labour Relations Act, the Public Service Labour Relations and Employment Board Act and other Acts and to provide for certain other measures (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/11/2016 5:55:00 PM,56,"Concurrence at report stage of Bill C-7, An Act to amend the Public Service Labour Relations Act, the Public Service Labour Relations and Employment Board Act and other Acts and to provide for certain other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/16/2016 12:40:30 PM,57,"Concurrence at report stage of Bill C-10, An Act to amend the Air Canada Public Participation Act and to provide for certain other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/17/2016 4:33:43 PM,58,"Concurrence at report stage of Bill C-6, An Act to amend the Citizenship Act and to make consequential amendments to another Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/17/2016 11:57:45 AM,59,"Time allocation for Bill C-10, An Act to amend the Air Canada Public Participation Act and to provide for certain other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/17/2016 3:00:33 PM,60,Opposition Motion (Trans-Pacific Partnership),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,5/17/2016 3:10:39 PM,61,Opposition Motion (Freedom of Conscience),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,5/18/2016 3:10:03 PM,62,Motion to proceed to Orders of the Day,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/18/2016 5:43:27 PM,63,"Time allocation for Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/30/2016 6:30:58 PM,64,"3rd reading and adoption of Bill C-7, An Act to amend the Public Service Labour Relations Act, the Public Service Labour Relations and Employment Board Act and other Acts and to provide for certain other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/30/2016 6:40:08 PM,65,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/30/2016 6:50:38 PM,66,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,5/30/2016 7:00:28 PM,67,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,5/30/2016 7:10:37 PM,68,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/30/2016 7:20:17 PM,69,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,5/30/2016 7:30:49 PM,70,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/30/2016 7:40:34 PM,71,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/30/2016 7:50:06 PM,72,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,5/30/2016 8:00:45 PM,73,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/30/2016 8:10:17 PM,74,"Concurrence at report stage of Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/31/2016 5:45:05 PM,75,"Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (recommittal to a committee)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,5/31/2016 5:55:47 PM,76,"3rd reading and adoption of Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/1/2016 5:45:00 PM,77,"3rd reading and adoption of Bill C-10, An Act to amend the Air Canada Public Participation Act and to provide for certain other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/1/2016 5:55:00 PM,78,"2nd reading of Bill C-210, An Act to amend the National Anthem Act (gender)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/7/2016 3:00:50 PM,79,Opposition Motion (Special committee on electoral reform) (amendment),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/7/2016 3:10:42 PM,80,Opposition Motion (Special committee on electoral reform),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/7/2016 3:20:00 PM,81,Third Report of the Standing Committee on Agriculture and Agri-Food,,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,6/8/2016 3:00:00 PM,82,"Bill C-15, An Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,6/8/2016 3:10:00 PM,83,"Bill C-15, An Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,6/8/2016 3:20:00 PM,84,"Bill C-15, An Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,6/8/2016 3:30:00 PM,85,"Concurrence at report stage of Bill C-15, An Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/8/2016 3:40:00 PM,86,"2nd reading of Bill C-239, An Act to amend the Income Tax Act (charitable gifts)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,6/13/2016 6:30:00 PM,87,"3rd reading and adoption of Bill C-15, An Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 3:00:00 PM,88,Opposition Motion (ISIS),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,6/14/2016 3:10:00 PM,89,Opposition Motion (Decriminalization of marijuana possession),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 10:30:06 PM,90,Opposition Motion (Internal trade),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,6/14/2016 10:35:12 PM,91,Concurrence in an opposed item,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 10:40:54 PM,92,Concurrence in estimates,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 10:16:34 PM,93,"2nd reading of Bill C-19, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 10:18:32 PM,94,"Concurrence at report stage of Bill C-19, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 10:22:48 PM,95,"3rd reading and adoption of Bill C-19, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 11:00:59 PM,96,Concurrence in estimates,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 10:31:21 PM,97,"2nd reading of Bill C-20, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 10:34:55 PM,98,"Concurrence at report stage of Bill C-20, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/14/2016 10:36:38 PM,99,"3rd reading and adoption of Bill C-20, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/15/2016 6:00:00 PM,100,"3rd reading and adoption of Bill C-210, An Act to amend the National Anthem Act (gender)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,6/15/2016 6:10:00 PM,101,"2nd reading of Bill C-223, An Act to establish the Canadian Organ Donor Registry and to coordinate and promote organ donation throughout Canada",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,6/16/2016 3:00:00 PM,102,"Motion respecting Senate amendments to Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying) (amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,6/16/2016 3:10:00 PM,103,"Motion respecting Senate amendments to Bill C-14, An Act to amend the Criminal Code and to make related amendments to other Acts (medical assistance in dying)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,9/20/2016 3:00:00 PM,104,"3rd reading and adoption of Bill C-2, An Act to amend the Income Tax Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,9/21/2016 6:00:00 PM,105,Private Members' Business M-43 (Taxpayer Bill of Rights),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,9/21/2016 6:10:00 PM,106,"2nd reading of Bill C-221, An Act to amend the Criminal Code (sports betting)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,9/21/2016 6:20:00 PM,107,"2nd reading of Bill C-229, An Act to amend the Criminal Code and the Corrections and Conditional Release Act and to make related and consequential amendments to other Acts (life sentences)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,9/21/2016 6:30:00 PM,108,"2nd reading of Bill C-232, An Act to amend the Excise Act, 2001 (spirits)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,9/27/2016 3:00:29 PM,109,Opposition Motion (Appointments to the Supreme Court),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,9/28/2016 6:00:51 PM,110,"2nd reading of Bill C-247, An Act to amend the Criminal Code (passive detection device)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,9/28/2016 6:10:20 PM,111,"2nd reading of Bill C-234, An Act to amend the Canada Labour Code (replacement workers)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,9/28/2016 6:20:17 PM,112,Private Members' Business M-45 (Infrastructure investments) (amendment),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,9/28/2016 6:30:32 PM,113,Private Members' Business M-45 (Infrastructure investments),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,10/25/2016 10:40:00 AM,133,Ways and Means motion No. 9,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,10/25/2016 3:00:16 PM,134,Opposition Motion (Genocide against the Yazidi people) (amendment),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,10/26/2016 6:00:00 PM,135,"2nd reading of Bill C-243, An Act respecting the development of a national maternity assistance program strategy and amending the Employment Insurance Act (maternity benefits)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,10/26/2016 6:20:00 PM,137,Private Members' Business M-42 (Tax avoidance),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,10/26/2016 6:30:00 PM,138,Private Members' Business M-40 (Abandoned vessels),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,10/26/2016 6:40:00 PM,139,"2nd reading of Bill S-201, An Act to prohibit and prevent genetic discrimination",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/1/2016 3:00:00 PM,140,Opposition Motion (Care for First Nations children),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/2/2016 6:00:00 PM,141,Private Members' Business M-39 (Immigration to Atlantic Canada),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/2/2016 6:10:00 PM,142,"2nd reading of Bill S-208, An Act respecting National Seal Products Day",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/2/2016 6:20:00 PM,143,"3rd reading and adoption of Bill C-224, An Act to amend the Controlled Drugs and Substances Act (assistance � drug overdose)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/15/2016 11:09:19 AM,144,"Time allocation for Bill C-29, A second Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,11/15/2016 3:00:57 PM,145,Opposition Motion (Preferential access to government),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/15/2016 6:25:37 PM,146,"2nd reading of Bill C-29, A second Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures (subamendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/15/2016 6:35:45 PM,147,"2nd reading of Bill C-29, A second Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures (reasoned amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/15/2016 6:45:05 PM,148,"2nd reading of Bill C-29, A second Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,11/15/2016 6:55:41 PM,149,"2nd reading of Bill C-26, An Act to amend the Canada Pension Plan, the Canada Pension Plan Investment Board Act and the Income Tax Act (subamendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/16/2016 4:05:50 PM,150,Motion to hear another Member,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,11/16/2016 5:00:13 PM,151,Motion to adjourn the House,,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/17/2016 10:35:56 AM,152,Motion to proceed to Orders of the Day,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,11/17/2016 11:50:34 AM,153,"Time allocation for Bill C-26, An Act to amend the Canada Pension Plan, the Canada Pension Plan Investment Board Act and the Income Tax Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,11/17/2016 6:15:04 PM,154,"2nd reading of Bill C-26, An Act to amend the Canada Pension Plan, the Canada Pension Plan Investment Board Act and the Income Tax Act (reasoned amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/17/2016 6:25:06 PM,155,"2nd reading of Bill C-26, An Act to amend the Canada Pension Plan, the Canada Pension Plan Investment Board Act and the Income Tax Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,11/29/2016 11:10:34 AM,156,"Time allocation for Bill C-26, An Act to amend the Canada Pension Plan, the Canada Pension Plan Investment Board Act and the Income Tax Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,11/29/2016 6:15:55 PM,157,"Bill C-26, An Act to amend the Canada Pension Plan, the Canada Pension Plan Investment Board Act and the Income Tax Act (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,11/29/2016 6:25:01 PM,158,"Concurrence at report stage of Bill C-26, An Act to amend the Canada Pension Plan, the Canada Pension Plan Investment Board Act and the Income Tax Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,11/30/2016 3:50:10 PM,159,Motion to proceed to Orders of the Day,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,11/30/2016 6:15:39 PM,160,"3rd reading and adoption of Bill C-26, An Act to amend the Canada Pension Plan, the Canada Pension Plan Investment Board Act and the Income Tax Act",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/1/2016 5:45:58 PM,161,Opposition Motion (Cuba),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,12/1/2016 5:55:44 PM,162,Concurrence in an opposed item,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/1/2016 6:05:11 PM,163,Concurrence in an opposed item,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/1/2016 6:15:02 PM,164,Concurrence in estimates,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/1/2016 6:34:21 PM,165,"2nd reading of Bill C-35, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/1/2016 6:35:26 PM,166,"Concurrence at report stage of Bill C-35, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/1/2016 6:45:43 PM,167,"3rd reading and adoption of Bill C-35, An Act for granting to Her Majesty certain sums of money for the federal public administration for the fiscal year ending March 31, 2017",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/5/2016 7:00:00 PM,169,"Bill C-29, A second Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,12/5/2016 7:10:00 PM,170,"Bill C-29, A second Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,12/5/2016 7:20:18 PM,171,"Bill C-29, A second Act to implement certain provisions of the budget tabled in Parliament on March 22, 2016 and other measures (report stage amendment)",,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
